,Department,Major_Code,Course_IDs
0,Faculty of Land and Food Systems,AANB,"['AANB 504', 'AANB 515', 'AANB 530A', 'AANB 530B', 'AANB 530C', 'AANB 530D', 'AANB 549A', 'AANB 549B', 'AANB 551', 'AANB 649']"
1,Faculty of Arts,ACAM,"['ACAM 250', 'ACAM 300', 'ACAM 320B', 'ACAM 350']"
2,Faculty of Education,ADHE,"['ADHE 327', 'ADHE 328', 'ADHE 329', 'ADHE 330', 'ADHE 412']"
3,Faculty of Arts,AFST,"['AFST 250A', 'AFST 308', 'AFST 351A', 'AFST 352A', 'AFST 370A']"
4,Faculty of Land and Food Systems,AGEC,"['AGEC 530A', 'AGEC 530B', 'AGEC 530C', 'AGEC 549']"
5,Faculty of Medicine,ANAT,"['ANAT 392', 'ANAT 448J', 'ANAT 448L', 'ANAT 448N', 'ANAT 504', 'ANAT 511', 'ANAT 512', 'ANAT 513', 'ANAT 514', 'ANAT 515', 'ANAT 516', 'ANAT 517', 'ANAT 527', 'ANAT 548A', 'ANAT 548B', 'ANAT 548C', 'ANAT 548D', 'ANAT 550', 'ANAT 590', 'ANAT 649']"
6,Faculty of Arts,ANTH,"['ANTH 100A', 'ANTH 201A', 'ANTH 202A', 'ANTH 203', 'ANTH 206', 'ANTH 210', 'ANTH 213', 'ANTH 215', 'ANTH 217', 'ANTH 227', 'ANTH 300A', 'ANTH 303A', 'ANTH 304A', 'ANTH 312', 'ANTH 315', 'ANTH 317A', 'ANTH 331A', 'ANTH 332', 'ANTH 341A', 'ANTH 351A', 'ANTH 360', 'ANTH 378', 'ANTH 400A', 'ANTH 407', 'ANTH 418', 'ANTH 427', 'ANTH 431C', 'ANTH 433A', 'ANTH 449A', 'ANTH 471', 'ANTH 495A', 'ANTH 500', 'ANTH 506A', 'ANTH 516', 'ANTH 517', 'ANTH 540A', 'ANTH 540B', 'ANTH 545A', 'ANTH 545B', 'ANTH 545E', 'ANTH 549A', 'ANTH 649']"
7,Faculty of Land and Food Systems,APBI,"['APBI 200', 'APBI 210', 'APBI 244', 'APBI 260', 'APBI 265', 'APBI 290', 'APBI 311', 'APBI 312', 'APBI 314', 'APBI 315', 'APBI 316', 'APBI 317', 'APBI 318', 'APBI 319', 'APBI 322', 'APBI 324', 'APBI 327', 'APBI 328', 'APBI 342', 'APBI 351', 'APBI 360', 'APBI 361', 'APBI 398', 'APBI 401', 'APBI 402', 'APBI 410', 'APBI 413', 'APBI 414', 'APBI 415', 'APBI 416', 'APBI 418', 'APBI 419', 'APBI 423', 'APBI 426', 'APBI 427', 'APBI 428', 'APBI 440', 'APBI 442', 'APBI 444', 'APBI 460', 'APBI 465', 'APBI 490', 'APBI 495', 'APBI 496A', 'APBI 496B', 'APBI 497A', 'APBI 497B', 'APBI 497C', 'APBI 497D', 'APBI 497E', 'APBI 498', 'APBI 499']"
8,Faculty of Applied Science,APPP,"['APPP 501', 'APPP 502', 'APPP 503', 'APPP 505', 'APPP 506C']"
9,Faculty of Applied Science,APSC,"['APSC 100', 'APSC 101', 'APSC 110', 'APSC 160', 'APSC 172', 'APSC 173', 'APSC 178', 'APSC 182', 'APSC 183', 'APSC 201', 'APSC 210', 'APSC 261', 'APSC 262', 'APSC 278', 'APSC 279', 'APSC 310', 'APSC 366', 'APSC 377', 'APSC 383', 'APSC 402', 'APSC 410', 'APSC 411', 'APSC 412', 'APSC 440', 'APSC 450', 'APSC 486', 'APSC 496D', 'APSC 496E', 'APSC 498B', 'APSC 498K', 'APSC 520', 'APSC 521', 'APSC 522', 'APSC 540', 'APSC 541']"
