,Majors
0,ARST
1,ARCH
2,APLA 
3,EVDS
4,LAND
5,PLAN
6,SUST
7,ACWR
8,AFST 
9,ASL
10,ANTH
11,ALMC
12,ARKY
13,ART
14,ARHI
15,ARTS
16,ASHA
17,CNST
18,CEST 
19,CHIN
20,CMCL
21,COMS
22,DNCE
23,DEST
24,DRAM
25,EASC 
26,EALS
27,EAST 
28,ECON 
29,ENGL 
30,FILM 
31,FREN
32,GEOG 
33,GERM 
34,GREK 
35,GRST 
36,HTST
37,INDL 
38,INDG
39,INNO
40,INTR
41,ITAL
42,JPNS
43,LANG
44,LATI
45,LAST
46,LWSO
47,LING
48,MHST
49,MUSI
50,MUED 
51,MUPF 
52,PHIL 
53,POLI 
54,PSYC 
55,RELS 
56,ROST 
57,RUSS 
58,SCPA
59,SLAV 
60,SOCI 
61,SAST 
62,SPAN 
63,STST 
64,TAP
65,TRAN 
66,UBST 
67,WELL
68,WMST
69,MDCH
70,CORE
71,HSOC
72,MDSC
73,MDCN
74,ACCT
75,BSEN
76,BTMA
77,ENMG
78,ENTI
79,FNCE
80,MGST
81,MKTG
82,OPMA
83,OBHR
84,PLMA
85,REAL
86,RMIN
87,SGMA
88,SCMA
89,TOUR
90,DCED
91,KNES
92,PHED
93,LAW
94,NURS
95,BMEN
96,ENCH
97,ENCI
98,ENCM
99,ENEL
100,ENEE
101,ENER
102,ENGG
103,ENEN
104,ENGO
105,ENMF
106,ENME
107,ENPE
108,ENSF
109,ACSC
110,ASTR
111,ASPH
112,BCEM
113,BIOL
114,BIST
115,CMMB
116,CHEM
117,CMDA
118,CPSC
119,DATA
120,ECOL
121,ENSC
122,GLGY
123,GOPH
124,ISEC
125,MRSC
126,MATH
127,MDPH
128,NANS
129,NEUR
130,PHYS
131,PLBI
132,SCIE
133,SENG
134,SPPH
135,STAT
136,ZOOL
137,SOWK
138,IPHE
139,VETM
140,EDUC
141,EDBT
142,EDPS
143,EDER
144,COOP
145,EESS
146,INTE
147,PPOL
148,SEDV
149,UNIV
150,UNEX
